,row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,cost,price,profit,quantity,sales
16,17,CA-2015-105893,2015-11-11,2015-11-18,standard class,PK-19075,Pete Kriz,consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,office supplies,storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",143.05,170.27,27.22,12,2043.216336
17,18,CA-2015-167164,2015-05-13,2015-05-15,second class,AG-10270,Alejandro Grove,consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,office supplies,storage,Fellowes Super Stor/Drawer,826.87,819.44,-7.42,12,9833.289446
18,19,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,office supplies,art,Newell 341,354.24,193.42,-160.82,17,3288.058439
19,20,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,technology,phones,Cisco Spa 501G Ip Phone,602.46,385.89,-216.57,9,3473.031415
20,21,CA-2015-143336,2015-08-27,2015-09-01,second class,ZD-21925,Zuschuss Donatelli,consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,office supplies,binders,"Wilson Jones Hanging View Binder, White, 1""",527.78,835.49,307.71,6,5012.920677
21,22,CA-2017-137330,2017-12-09,2017-12-13,standard class,KB-16585,Ken Black,corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,office supplies,art,Newell 318,154.0,564.5,410.5,8,4515.970601
22,23,CA-2017-137330,2017-12-09,2017-12-13,standard class,KB-16585,Ken Black,corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,office supplies,appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",969.56,73.08,-896.48,2,146.1597015
23,24,US-2018-156909,2018-07-16,2018-07-18,second class,SF-20065,Sandra Flanagan,consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,furniture,chairs,"Global Deluxe Stacking Chair, Gray",541.44,458.43,-83.01,17,7793.331876
24,25,CA-2016-106320,2016-09-25,2016-09-30,standard class,EB-13870,Emily Burns,consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,furniture,tables,Bretford Cr4500 Series Slim Rectangular Table,202.83,797.24,594.41,22,17539.29487
25,26,CA-2017-121755,2017-01-16,2017-01-20,second class,EH-13945,Eric Hoffmann,consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,office supplies,binders,Wilson Jones Active Use Binders,586.08,773.06,186.98,6,4638.355416
26,27,CA-2017-121755,2017-01-16,2017-01-20,second class,EH-13945,Eric Hoffmann,consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,technology,accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,183.92,369.63,185.71,22,8131.913529
27,28,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,furniture,bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",188.52,742.99,554.47,15,11144.84174
28,29,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,office supplies,binders,Avery Recycled Flexi-View Covers For Binding Systems,728.56,670.87,-57.68,5,3354.36886
29,30,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,furniture,furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",368.86,957.31,588.45,18,17231.61635
30,31,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,office supplies,envelopes,Poly String Tie Envelopes,943.14,968.45,25.32,21,20337.54573
31,32,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,office supplies,art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",516.86,762.18,245.31,15,11432.63183
32,33,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,office supplies,binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",297.18,763.19,466.01,7,5342.33281
33,34,US-2016-150630,2016-09-17,2016-09-21,standard class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,office supplies,art,Lumber Crayons,281.17,600.8,319.63,14,8411.196939
34,35,CA-2018-107727,2018-10-19,2018-10-23,second class,MA-17560,Matt Abelman,home office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,office supplies,paper,Easy-Staple Paper,500.8,562.08,61.27,3,1686.23117
35,36,CA-2017-117590,2017-12-08,2017-12-10,first class,GH-14485,Gene Hale,corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,technology,phones,Ge 30524Ee4,702.18,580.41,-121.76,7,4062.877937
36,37,CA-2017-117590,2017-12-08,2017-12-10,first class,GH-14485,Gene Hale,corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,furniture,furnishings,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",816.79,332.61,-484.19,4,1330.433705
37,38,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,Steve Nguyen,home office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,office supplies,envelopes,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",866.76,75.04,-791.72,9,675.3258823
38,39,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,Steve Nguyen,home office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,furniture,bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",915.83,618.75,-297.09,18,11137.436
39,40,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,Steve Nguyen,home office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,furniture,chairs,"Global Fabric Manager'S Chair, Dark Gray",990.31,399.45,-590.86,22,8787.869102
40,41,CA-2016-117415,2016-12-27,2016-12-31,standard class,SN-20710,Steve Nguyen,home office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,technology,phones,Plantronics Hl10 Handset Lifter,827.12,359.77,-467.36,7,2518.377943
41,42,CA-2018-120999,2018-09-10,2018-09-15,standard class,LC-16930,Linda Cazamias,corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,technology,phones,Panasonic Kx-Ts550,429.08,30.69,-398.39,10,306.9458167
42,43,CA-2017-101343,2017-07-17,2017-07-22,standard class,RA-19885,Ruben Ausman,corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,office supplies,storage,"Eldon Base For Stackable Storage Shelf, Platinum",205.78,995.4,789.62,23,22894.29727
43,44,CA-2018-139619,2018-09-19,2018-09-23,standard class,ES-14080,Erin Smith,corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,office supplies,storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",913.38,242.91,-670.47,10,2429.108418
44,45,CA-2017-118255,2017-03-11,2017-03-13,first class,ON-18715,Odella Nelson,corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,technology,accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",542.25,649.85,107.6,1,649.8492626
45,46,CA-2017-118255,2017-03-11,2017-03-13,first class,ON-18715,Odella Nelson,corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,office supplies,binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,282.07,283.29,1.22,25,7082.237861
46,47,CA-2015-146703,2015-10-20,2015-10-25,second class,PO-18865,Patrick O'Donnell,consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,office supplies,storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Black",23.82,802.03,778.22,7,5614.221833
47,48,CA-2017-169194,2017-06-20,2017-06-25,standard class,LH-16900,Lena Hernandez,consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,technology,accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,185.42,818.23,632.81,6,4909.398252
48,49,CA-2017-169194,2017-06-20,2017-06-25,standard class,LH-16900,Lena Hernandez,consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,technology,phones,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Apple Iphone 5C Mini Lite",619.04,903.05,284.01,21,18964.14972
49,50,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,Darren Powers,consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,office supplies,binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",87.19,736.24,649.05,17,12516.13024
50,51,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,Darren Powers,consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,office supplies,labels,Avery 485,242.66,953.24,710.59,7,6672.69409
51,52,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,Darren Powers,consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,furniture,furnishings,Longer-Life Soft White Bulbs,357.46,763.57,406.11,19,14507.79141
52,53,CA-2016-115742,2016-04-18,2016-04-22,standard class,DP-13000,Darren Powers,consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,furniture,chairs,"Global Leather Task Chair, Black",136.89,587.15,450.25,22,12917.20012
53,54,CA-2017-105816,2017-12-11,2017-12-17,standard class,JM-15265,Janet Molinari,corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,office supplies,fasteners,Advantus Push Pins,750.98,34.62,-716.35,1,34.6230988
54,55,CA-2017-105816,2017-12-11,2017-12-17,standard class,JM-15265,Janet Molinari,corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,technology,phones,At&T Cl83451 4-Handset Telephone,963.45,995.71,32.25,16,15931.28358
55,56,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,office supplies,storage,Home/Office Personal File Carts,804.72,437.1,-367.62,18,7867.773349
56,57,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,office supplies,paper,Xerox 232,392.64,157.29,-235.36,17,2673.879838
57,58,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,furniture,chairs,Novimex Turbo Task Chair,87.4,1.51,-85.9,15,22.60573185
58,59,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,office supplies,paper,"Array Parchment Paper, Assorted Colors",488.25,42.56,-445.69,16,680.9024654
59,60,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,technology,accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,159.47,360.48,201.0,8,2883.827155
60,61,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,office supplies,binders,Plastic Binding Combs,957.08,502.84,-454.24,25,12570.98008
61,62,CA-2017-111682,2017-06-17,2017-06-18,first class,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,office supplies,art,Prang Dustless Chalk Sticks,306.2,295.23,-10.97,12,3542.806551
62,63,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,Kunst Miller,consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,technology,accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",635.51,683.8,48.29,21,14359.77677
63,64,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,Kunst Miller,consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,office supplies,binders,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",391.32,740.7,349.38,19,14073.22008
64,65,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,Kunst Miller,consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,office supplies,paper,Xerox 1943,855.78,198.26,-657.52,9,1784.381756
65,66,CA-2016-135545,2016-11-24,2016-11-30,standard class,KM-16720,Kunst Miller,consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,furniture,furnishings,Luxo Economy Swing Arm Lamp,145.26,413.09,267.83,2,826.180006
66,67,US-2016-164175,2016-04-30,2016-05-05,standard class,PS-18970,Paul Stevenson,home office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,furniture,chairs,"Global Value Mid-Back Manager'S Chair, Gray",350.54,390.39,39.85,25,9759.694933
67,68,CA-2015-106376,2015-12-05,2015-12-10,standard class,BS-11590,Brendan Sweed,corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,office supplies,art,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",306.17,465.09,158.92,9,4185.804457
68,69,CA-2015-106376,2015-12-05,2015-12-10,standard class,BS-11590,Brendan Sweed,corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,technology,phones,Nettalk Duo Voip Telephone Service,674.71,262.71,-412.0,8,2101.681808
69,70,CA-2017-119823,2017-06-04,2017-06-06,first class,KD-16270,Karen Daniels,consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,office supplies,paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",623.34,978.67,355.33,10,9786.692444
70,71,CA-2017-106075,2017-09-18,2017-09-23,standard class,HM-14980,Henry Macallister,consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,office supplies,binders,Avery Binding System Hidden Tab Executive Style Index Sets,160.93,676.2,515.28,8,5409.631112
71,72,CA-2018-114440,2018-09-14,2018-09-17,second class,TB-21520,Tracy Blumstein,consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,office supplies,paper,"Telephone Message Books With Fax/Mobile Section, 5 1/2"" X 3 3/16""",190.36,14.39,-175.96,18,259.0547228
72,73,US-2016-134026,2016-04-26,2016-05-02,standard class,JE-15745,Joel Eaton,consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,furniture,chairs,High-Back Leather Manager'S Chair,890.82,454.88,-435.94,19,8642.734197
73,74,US-2016-134026,2016-04-26,2016-05-02,standard class,JE-15745,Joel Eaton,consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,furniture,furnishings,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36"" X 48""",335.84,476.11,140.27,10,4761.075788
74,75,US-2016-134026,2016-04-26,2016-05-02,standard class,JE-15745,Joel Eaton,consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,office supplies,storage,Safco Industrial Wire Shelving System,469.6,689.82,220.23,4,2759.299315
75,76,US-2018-118038,2018-12-09,2018-12-11,first class,KB-16600,Ken Brennan,corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,office supplies,binders,Economy Binders,283.6,295.23,11.63,19,5609.300622
76,77,US-2018-118038,2018-12-09,2018-12-11,first class,KB-16600,Ken Brennan,corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,furniture,furnishings,"6"" Cubicle Wall Clock, Black",315.81,194.95,-120.86,2,389.9023347
77,78,US-2018-118038,2018-12-09,2018-12-11,first class,KB-16600,Ken Brennan,corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,office supplies,storage,"Simplifile Personal File, Black Granite, 15W X 6-15/16D X 11-1/4H",791.14,943.26,152.13,18,16978.71025
78,79,US-2015-147606,2015-11-26,2015-12-01,second class,JE-15745,Joel Eaton,consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,furniture,furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",696.55,122.51,-574.04,24,2940.211428
79,80,CA-2017-127208,2017-06-12,2017-06-15,first class,SC-20770,Stewart Carmichael,corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,office supplies,appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",388.19,319.17,-69.02,25,7979.172993
80,81,CA-2017-127208,2017-06-12,2017-06-15,first class,SC-20770,Stewart Carmichael,corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,office supplies,binders,Avery Heavy-Duty Ezd  Binder With Locking Rings,162.76,19.91,-142.84,5,99.56473465
81,82,CA-2015-139451,2015-10-12,2015-10-16,standard class,DN-13690,Duane Noonan,consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,office supplies,art,"Premium Writing Pencils, Soft, #2 By Central Association For The Blind",241.57,516.48,274.91,1,516.4788574
82,83,CA-2015-139451,2015-10-12,2015-10-16,standard class,DN-13690,Duane Noonan,consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,office supplies,storage,"Sortfiler Multipurpose Personal File Organizer, Black",57.68,954.75,897.07,17,16230.75146
83,84,CA-2016-149734,2016-09-03,2016-09-08,standard class,JC-16105,Julie Creighton,corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,office supplies,envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,69.29,774.73,705.44,23,17818.8067
84,85,US-2018-119662,2018-11-13,2018-11-16,first class,CS-12400,Christopher Schild,home office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,office supplies,storage,Safco Industrial Wire Shelving,90.07,228.64,138.57,19,4344.141622
85,86,CA-2018-140088,2018-05-28,2018-05-30,second class,PO-18865,Patrick O'Donnell,consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,furniture,chairs,Novimex Swivel Fabric Task Chair,584.38,422.34,-162.04,21,8869.145783
86,87,CA-2018-155558,2018-10-26,2018-11-02,standard class,PG-18895,Paul Gonzalez,consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,technology,accessories,Logitech Ls21 Speaker System - Pc Multimedia - 2.1-Ch - Wired,705.75,812.12,106.37,4,3248.49345
87,88,CA-2018-155558,2018-10-26,2018-11-02,standard class,PG-18895,Paul Gonzalez,consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,office supplies,labels,Avery 511,246.56,177.03,-69.53,12,2124.332789
88,89,CA-2017-159695,2017-04-05,2017-04-10,second class,GM-14455,Gary Mitchum,home office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,office supplies,storage,Eldon Portable Mobile Manager,530.43,289.41,-241.03,6,1736.440323
89,90,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,Jim Sink,corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,office supplies,art,Turquoise Lead Holder With Pocket Clip,793.09,481.74,-311.35,1,481.7389331
90,91,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,Jim Sink,corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,technology,phones,Panasonic Kx-Ts550,834.6,877.05,42.45,21,18418.14801
91,92,CA-2017-109806,2017-09-17,2017-09-22,standard class,JS-15685,Jim Sink,corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,office supplies,paper,Xerox 1995,291.51,835.85,544.33,13,10865.99301
92,93,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,Karl Braun,consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,office supplies,paper,Xerox 1999,663.9,784.5,120.6,16,12551.93087
93,94,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,Karl Braun,consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,furniture,furnishings,"Seth Thomas 13 1/2"" Wall Clock",427.71,674.12,246.4,2,1348.23706
94,95,CA-2016-149587,2016-01-31,2016-02-05,second class,KB-16315,Karl Braun,consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,office supplies,binders,Ibico Standard Transparent Covers,982.1,576.28,-405.82,20,11525.62349
95,96,US-2018-109484,2018-11-06,2018-11-12,standard class,RB-19705,Roger Barcio,home office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,office supplies,binders,Flexible Leather- Look Classic Collection Ring Binder,530.48,245.18,-285.3,24,5884.295083
96,97,CA-2018-161018,2018-11-09,2018-11-11,second class,PN-18775,Parhena Norris,home office,United States,New York City,New York,10009,East,FUR-FU-10000629,furniture,furnishings,9-3/4 Diameter Round Wall Clock,697.51,913.74,216.24,2,1827.489496
97,98,CA-2018-157833,2018-06-17,2018-06-20,first class,KD-16345,Katherine Ducich,consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,office supplies,binders,Trimflex Flexible Post Binders,223.38,277.91,54.53,13,3612.852054
98,99,CA-2017-149223,2017-09-06,2017-09-11,standard class,ER-13855,Elpida Rittenbach,corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,office supplies,appliances,Fellowes Basic Home/Office Series Surge Protectors,843.03,842.39,-0.64,10,8423.867072
99,100,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,Rick Bensley,home office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,office supplies,paper,Avery Personal Creations Heavyweight Cards,98.43,940.72,842.29,23,21636.62332
100,101,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,Rick Bensley,home office,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,technology,accessories,Sandisk Ultra 64 Gb Microsdhc Class 10 Memory Card,633.96,219.22,-414.75,8,1753.754837
101,102,CA-2017-158568,2017-08-29,2017-09-02,standard class,RB-19465,Rick Bensley,home office,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,office supplies,binders,Avery Hidden Tab Dividers For Binding Systems,841.08,718.02,-123.06,18,12924.35781
102,103,CA-2017-129903,2017-12-01,2017-12-04,second class,GZ-14470,Gary Zandusky,consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,office supplies,paper,Universal Premium White Copier/Laser Paper (20Lb. And 87 Bright),650.92,785.4,134.48,2,1570.806968
103,104,US-2016-156867,2016-11-13,2016-11-17,standard class,LC-16870,Lena Cacioppo,consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,technology,accessories,Logitech K350 2.4Ghz Wireless Keyboard,793.42,448.47,-344.95,3,1345.416451
104,105,US-2016-156867,2016-11-13,2016-11-17,standard class,LC-16870,Lena Cacioppo,consumer,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,furniture,furnishings,"Deflect-O Duramat Lighweight, Studded, Beveled Mat For Low Pile Carpeting",135.9,281.59,145.69,17,4787.051652
105,106,US-2016-156867,2016-11-13,2016-11-17,standard class,LC-16870,Lena Cacioppo,consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,office supplies,binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 Sheets",619.99,939.5,319.5,10,9394.951568
